date,nav_bh,nav_ma20,nav_mom60,dd_bh,dd_ma20,dd_mom60
2022-06-15,1.8765979841513996,1.658918748848515,1.3620433447809996,-0.1747219840347971,-0.1822599077829019,-0.20671730816551992
2022-06-16,1.8727760102277806,1.658918748848515,1.3620433447809996,-0.17640278678711452,-0.1822599077829019,-0.20671730816551992
2022-06-17,1.847550982331896,1.658918748848515,1.3620433447809996,-0.18749608495240921,-0.1822599077829019,-0.20671730816551992
2022-06-20,1.830734297067973,1.658918748848515,1.3620433447809996,-0.19489161706260572,-0.1822599077829019,-0.20671730816551992
2022-06-21,1.8681896415194381,1.658918748848515,1.3620433447809996,-0.1784197500898953,-0.1822599077829019,-0.20671730816551992
2022-06-22,1.826912323144354,1.658918748848515,1.3620433447809996,-0.19657241981492313,-0.1822599077829019,-0.20671730816551992
2022-06-23,1.8024516900331933,1.658918748848515,1.3620433447809996,-0.20732955742975434,-0.1822599077829019,-0.20671730816551992
2022-06-24,1.8062735327977897,1.658918748848515,1.3620433447809996,-0.20564881235769605,-0.1822599077829019,-0.20671730816551992
2022-06-27,1.8490799030603668,1.658918748848515,1.3620433447809996,-0.1868237061712229,-0.1822599077829019,-0.20671730816551992
2022-06-28,1.83149882301172,1.658918748848515,1.3620433447809996,-0.1945553988318829,-0.1822599077829019,-0.20671730816551992
2022-06-29,1.816210664999199,1.658918748848515,1.3620433447809996,-0.20127872520167078,-0.1822599077829019,-0.20671730816551992
2022-06-30,1.7703468467567496,1.658918748848515,1.3620433447809996,-0.22144841590973852,-0.1822599077829019,-0.20671730816551992
2022-07-01,1.7053730277371828,1.658918748848515,1.3620433447809996,-0.25002217805965266,-0.1822599077829019,-0.20671730816551992
2022-07-04,1.6885560801552142,1.658918748848515,1.3620433447809996,-0.2574178255303674,-0.1822599077829019,-0.20671730816551992
2022-07-05,1.6969646851052214,1.658918748848515,1.3620433447809996,-0.25371994411475085,-0.1822599077829019,-0.20671730816551992
2022-07-06,1.6640953158850307,1.658918748848515,1.3620433447809996,-0.26817502082545785,-0.1822599077829019,-0.20671730816551992
2022-07-07,1.7137813703691445,1.658918748848515,1.3620433447809996,-0.24632441200455435,-0.1822599077829019,-0.20671730816551992
2022-07-08,1.731362581576814,1.658918748848515,1.3620433447809996,-0.23859266166363513,-0.1822599077829019,-0.20671730816551992
2022-07-11,1.7160744235642929,1.658918748848515,1.3620433447809996,-0.24531598803342314,-0.1822599077829019,-0.20671730816551992
2022-07-12,1.674796974030186,1.658918748848515,1.3620433447809996,-0.2634687154387101,-0.1822599077829019,-0.20671730816551992
